,0,1
394,83718478,1
395,83831748,2
396,83866462,1
397,84095617,1
398,84355150,2
399,84654677,1
400,85114916,2
401,85283203,1
402,85725567,1
403,86331136,1
404,86418940,2
405,86464249,2
406,86708287,1
407,86790924,2
408,86907798,2
409,87353613,1
410,87411229,1
411,87479249,2
412,88105194,2
413,88315242,1
414,88466451,1
415,88591412,2
416,88686558,1
417,89042387,1
418,89497128,1
419,89518656,1
420,89649021,1
421,89708143,1
422,89738629,2
423,90536044,1
424,90600592,1
425,90884620,2
426,91457687,1
427,91664011,1
428,91705225,1
429,91889215,2
430,92269894,1
431,92515008,1
432,92857721,2
433,93385474,2
434,93745145,1
435,93834243,1
436,94058197,1
437,94226774,1
438,94287252,1
439,94336152,2
440,94360875,1
441,94407749,1
442,94455331,2
443,94926883,2
444,95076346,2
445,95198903,2
446,96250500,1
447,97058072,1
448,97221708,2
449,97265317,2
450,97476433,1
451,97542360,1
452,97561294,2
453,97996261,1
454,98248335,1
455,98272964,1
456,98733554,1
457,99018800,1
458,99146731,1
459,99316422,2
460,99915665,1
461,99969800,1
462,100123585,1
463,100125801,2
464,100783904,1
465,100936211,1
466,100951670,1
467,101070584,1
468,101128995,1
469,101283022,1
470,101379520,1
471,102573150,2
472,102627006,1
473,102894907,1
474,103352279,2
475,103486933,1
476,103500919,1
477,103695429,1
478,104085643,1
479,104291390,2
480,104480581,1
481,104498789,1
482,104535002,1
483,105369736,1
484,105406760,2
485,106102634,1
486,106400655,1
487,106656547,1
488,106881674,1
489,106970302,1
490,107012476,1
491,107182627,2
492,107240930,1
493,107271494,1
494,107747368,2
495,107865868,1
496,107929522,2
497,107985300,1
498,108738319,1
499,109014226,1
500,109999893,1
501,111209820,2
502,111230323,1
503,111611230,1
504,111894345,1
505,111925090,1
506,111978235,1
507,111989353,2
508,112898501,1
509,113372288,1
510,113542420,2
511,113552553,1
512,113659457,1
513,113689148,1
514,114064573,2
515,114112014,1
516,114274175,1
517,114279583,2
518,116931941,1
519,117075662,1
520,117556804,1
521,117666446,1
522,117858069,1
523,117879754,2
524,117983056,1
525,118925234,1
526,119601692,1
527,119703851,1
528,121115148,1
529,121796694,1
530,122096206,1
531,122233837,2
532,122308518,1
533,122452944,1
534,122997159,1
535,123593515,2
536,124074443,1
537,124394553,1
538,124644997,1
539,125595806,1
540,125642376,1
541,125847365,1
542,127678198,1
543,127719822,1
544,127800861,2
545,128992048,1
546,129214043,1
547,130438753,1
548,130567901,1
549,130692772,1
550,131703003,1
551,131853210,1
552,132094108,1
553,132144230,1
554,132316631,1
555,132675370,1
556,132690930,1
557,132854115,1
558,133122413,1
559,133191864,2
560,133340636,1
561,133362567,1
562,133641243,1
563,133792638,1
564,133909869,2
565,133952777,2
566,134031978,1
567,134088022,1
568,134122593,1
569,134163734,1
570,134200478,1
571,134213029,1
572,134345220,2
573,134465100,1
574,134568540,1
575,134602080,1
